Unnamed: 0	country	year	soiltemp	surfacetempanomaly	precipitationflux
0	Afghanistan	1950	289.32724	287.41458	1.8679957e-05
1	Afghanistan	1951	289.47574	287.38846	1.537505e-05
2	Afghanistan	1952	290.00018	287.3542	1.2497564e-05
3	Afghanistan	1953	290.0468	286.78772	1.1840569e-05
4	Afghanistan	1954	289.84207	287.7984	1.181386e-05
5	Afghanistan	1955	289.64218	287.52957	1.23645705e-05
6	Afghanistan	1956	289.3768	287.76743	1.6272943e-05
7	Afghanistan	1957	289.98175	287.11694	1.6840111e-05
8	Afghanistan	1958	289.47556	287.6014	1.2188536e-05
9	Afghanistan	1959	290.0511	287.35715	8.220864e-06
10	Afghanistan	1960	289.4716	288.24966	1.3089533e-05
11	Afghanistan	1961	289.66336	287.77844	9.214068e-06
12	Afghanistan	1962	289.3453	287.0411	2.0152458e-05
13	Afghanistan	1963	289.2519	287.41193	1.4875076e-05
14	Afghanistan	1964	289.96106	287.6349	1.3587397e-05
15	Afghanistan	1965	289.19656	288.02115	1.4890752e-05
16	Afghanistan	1966	289.26678	287.57538	1.2327063e-05
17	Afghanistan	1967	289.1474	287.09717	1.5046688e-05
18	Afghanistan	1968	289.39374	287.49054	1.4576056e-05
19	Afghanistan	1969	289.71225	288.0842	1.377379e-05
20	Afghanistan	1970	289.37015	288.13962	1.662013e-05
21	Afghanistan	1971	289.4694	288.17538	9.574138e-06
22	Afghanistan	1972	289.9057	288.0806	1.6220914e-05
23	Afghanistan	1973	289.95615	287.41492	1.4506192e-05
24	Afghanistan	1974	290.76886	287.5419	1.1499145e-05
25	Afghanistan	1975	289.9544	287.1647	1.132059e-05
26	Afghanistan	1976	290.52676	287.7015	1.6881324e-05
27	Afghanistan	1977	289.8756	287.74136	1.6860693e-05
28	Afghanistan	1978	289.1248	288.1819	1.3063847e-05
29	Afghanistan	1979	290.16974	288.21045	1.696437e-05
30	Afghanistan	1980	290.4383	288.543	1.2384376e-05
31	Afghanistan	1981	289.9219	288.3419	1.40258835e-05
32	Afghanistan	1982	289.8435	287.8112	1.2184855e-05
33	Afghanistan	1983	289.34625	287.18524	9.949434e-06
34	Afghanistan	1984	288.9853	287.29352	1.3479497e-05
35	Afghanistan	1985	289.2801	288.1175	1.3967181e-05
36	Afghanistan	1986	289.588	287.68735	1.5355732e-05
37	Afghanistan	1987	289.63135	288.03293	1.1524747e-05
38	Afghanistan	1988	290.22235	288.28284	9.617237e-06
39	Afghanistan	1989	290.23288	288.77518	1.5980246e-05
40	Afghanistan	1990	290.1353	288.1018	1.1878844e-05
41	Afghanistan	1991	290.76215	288.55664	8.212587e-06
42	Afghanistan	1992	289.6438	287.67038	1.5456204e-05
43	Afghanistan	1993	289.8024	287.48715	1.3540369e-05
44	Afghanistan	1994	289.92834	287.52472	1.0891837e-05
45	Afghanistan	1995	289.93103	287.7322	8.58712e-06
46	Afghanistan	1996	290.04123	287.38586	1.4814699e-05
47	Afghanistan	1997	290.62903	288.72687	1.6839047e-05
48	Afghanistan	1998	289.56357	288.021	1.2068164e-05
49	Afghanistan	1999	290.45236	288.36877	8.977334e-06
