Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1990","1990","ha","175","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1991","1991","ha","164","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1992","1992","ha","170","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1993","1993","ha","167","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1994","1994","ha","150","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1995","1995","ha","120","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1996","1996","ha","122","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1997","1997","ha","127","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1998","1998","ha","130","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","1999","1999","ha","105","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2000","2000","ha","140","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2001","2001","ha","180","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2002","2002","ha","182","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2003","2003","ha","200","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2004","2004","ha","190","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2005","2005","ha","180","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2006","2006","ha","200","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2007","2007","ha","243","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2008","2008","ha","250","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2009","2009","ha","250","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2010","2010","ha","254","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2011","2011","ha","259","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2012","2012","ha","260","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2013","2013","ha","303","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2014","2014","ha","357","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2015","2015","ha","415","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1990","1990","ha","80","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1991","1991","ha","82","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1992","1992","ha","100","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1993","1993","ha","108","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1994","1994","ha","120","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1995","1995","ha","122","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1996","1996","ha","130","F","FAO estimate"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","125","Cassava","1997","1997","ha","130","Im","FAO data based on imputation methodology"
