Area,Item,Location code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,Bananas,920,175,164,170,167,150,120,122,127,130,105,140,180,182,200,190,180,200,243,250,250,254,259,260,303,357,415
Brunei Darussalam,Cassava,920,80,82,100,108,120,122,130,130,135,138,140,132,150,160,170,184,180,184,192,193,199,189,180,185,184,184
Brunei Darussalam,"Chillies and peppers, green",920,14,19,15,28,30,37,42,42,40,44,55,60,60,65,70,90,60,61,60,73,77,79,75,85,92,102
Brunei Darussalam,Coconuts,920,81,75,74,80,85,87,90,97,95,97,100,101,107,110,130,210,190,200,197,203,207,210,215,218,223,237
Brunei Darussalam,Cucumbers and gherkins,920,43,62,49,90,96,120,134,133,126,140,177,178,192,207,238,210,184,196,200,206,206,207,200,213,219,230
Brunei Darussalam,Eggplants (aubergines),920,8,12,9,17,18,22,25,25,24,26,33,34,36,39,41,34,34,37,40,41,43,44,42,50,52,58
Brunei Darussalam,"Fruit, fresh nes",920,524,505,520,517,523,550,541,500,425,700,592,598,500,600,900,699,715,729,760,783,807,833,1000,905,961,991
Brunei Darussalam,Lemons and limes,920,6,9,8,8,8,7,7,8,9,10,10,12,12,14,15,15,16,16,17,17,18,17,15,15,16,17
Brunei Darussalam,Lettuce and chicory,920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,3,3,4,4,5
Brunei Darussalam,"Maize, green",920,9,14,11,20,20,26,29,29,26,30,38,38,41,44,49,97,85,100,92,99,98,101,105,108,113,120
Brunei Darussalam,Okra,920,94,135,106,198,211,261,294,291,276,307,388,390,420,453,518,474,446,429,430,449,478,477,484,491,500,512
Brunei Darussalam,"Onions, shallots, green",920,2,3,2,4,5,6,7,6,6,7,7,9,8,9,11,7,7,10,10,10,9,10,12,12,12,12
Brunei Darussalam,Oranges,920,44,46,45,50,46,40,45,45,50,50,56,60,58,60,60,59,59,59,59,59,59,59,60,59,59,58
