Area,Item,Location code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,Bananas,96,45029,43902,44000,44072,46667,41667,41475,41102,40000,39048,38714,39111,39231,39600,40579,40000,39700,31111,32000,33560,33189,32896,32692,31881,31036,30578
Brunei Darussalam,Cassava,96,125000,121951,120000,118333,116667,116557,115385,117615,118519,119928,121429,121212,120000,123375,125471,127446,138056,143207,147656,151762,155779,159630,166667,162162,163750,176141
Brunei Darussalam,"Chillies and peppers, green",96,38571,40526,40667,40357,40333,40541,40000,39762,39500,39773,40000,40167,40000,40000,40000,41444,41500,40164,41667,43014,43896,45190,48000,47176,47283,47843
Brunei Darussalam,Coconuts,96,14815,15867,15541,15000,14706,16322,18111,16804,17158,16804,16900,16832,16822,16818,16385,17048,17053,17500,17360,17291,17295,17381,17395,17431,17489,17553
Brunei Darussalam,Cucumbers and gherkins,96,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,99837,100000,100000,100583,101505,102174,105000,102958,102877,103174
Brunei Darussalam,Eggplants (aubergines),96,80000,76667,81111,79412,80556,81364,80800,80000,79167,80769,80606,78824,80000,79744,79512,80294,79412,79459,75000,79024,79070,80455,83333,79800,79808,79483
Brunei Darussalam,"Fruit, fresh nes",96,61450,59406,59192,60503,60765,63636,60000,56000,58824,57143,58243,57977,60000,58333,61111,56195,55343,54678,52789,51596,50409,49172,40000,46851,44610,43128
Brunei Darussalam,Lemons and limes,96,98333,55556,57500,56250,53750,57143,55714,56250,53333,50000,54000,50000,51667,50000,50000,49333,47500,48750,47059,47059,47222,43529,41333,42667,41250,41176
Brunei Darussalam,Lettuce and chicory,96,20000,20000,20000,30000,30000,40000,50000,50000,40000,50000,50000,50000,50000,50000,30000,40000,35000,35000,30000,35000,30000,30000,23333,20000,22500,18000
Brunei Darussalam,"Maize, green",96,3333,3571,3636,3500,3500,3462,3448,3448,3462,3667,3421,3421,3415,3636,3469,3505,3529,3500,3478,3535,3469,3465,3524,3519,3451,3500
Brunei Darussalam,Okra,96,7979,8000,8019,7980,8009,8008,7993,8007,8007,7980,7990,8000,8000,8013,7992,7996,8004,7995,7907,7773,8117,8155,8182,8208,8160,8145
Brunei Darussalam,"Onions, shallots, green",96,95000,90000,105000,100000,84000,88333,84286,91667,93333,88571,94286,86667,93750,93333,90000,95714,88571,86000,90000,87000,85556,87000,75000,78333,79167,80000
Brunei Darussalam,Oranges,96,53864,50000,50222,49400,49130,50000,50667,51111,49200,48000,48750,50000,52241,53333,54833,57119,58475,60339,62034,63898,65763,67458,70000,71186,72034,75345
Brunei Darussalam,Pepper (piper spp.),96,5116,4286,3947,4103,4000,4048,4000,4043,4000,4000,4167,4000,4091,3971,4000,4000,4000,3944,3944,3889,3889,3836,3733,3733,3919,3919
Brunei Darussalam,Pineapples,96,81818,86250,88571,89474,90533,92857,92533,93333,91000,90361,88889,90000,90396,90000,90000,89640,88947,88707,88559,88500,87642,87520,86154,87132,87597,86866
Brunei Darussalam,"Pumpkins, squash and gourds",96,206667,198889,202857,200769,200000,204118,195000,203158,203889,203500,197692,198846,198571,200333,198788,201739,198684,202857,186667,198182,198529,198571,197667,194878,198261,197037
Brunei Darussalam,"Rice, paddy",96,15500,16000,12333,22571,16702,16387,16519,12493,10695,5263,6500,7292,7294,7928,8190,8728,8091,7255,7008,5147,5801,9227,9772,9664,14547,21461
Brunei Darussalam,Roots and tubers nes,96,9574,10000,9932,9931,9965,10000,10000,10000,10000,10093,10000,10121,10000,10201,10250,10322,10415,10501,10584,10660,10734,10781,11111,11087,11038,11025
Brunei Darussalam,"Rubber, natural",96,567,603,604,607,600,600,617,643,620,609,606,618,621,625,641,625,611,620,628,628,630,632,631,633,630,632
Brunei Darussalam,Spinach,96,40000,40217,39459,39706,40139,39889,40300,40000,39895,40095,39259,39925,39931,40129,39943,39939,40052,40000,40000,39697,39286,38947,37500,38503,38492,38515
Brunei Darussalam,Sweet potatoes,96,52500,62500,62381,59565,59583,60000,57407,53333,53125,51429,51351,50000,48889,50000,51702,52200,55349,57857,59048,61463,62439,63659,66250,67500,68000,71842
Brunei Darussalam,Tomatoes,96,105000,103333,120000,112500,120000,120000,111667,118333,126000,116667,128571,127143,120000,115556,125556,123333,118889,122500,100000,124444,117000,123000,130000,120000,121818,124545
Brunei Darussalam,"Vegetables, fresh nes",96,8197,8182,8182,8174,8175,8188,8195,8185,8204,8244,8206,8156,8199,8529,7843,7059,8274,8711,8227,8152,8172,8182,8193,8203,8189,8189
Brunei Darussalam,"Vegetables, leguminous nes",96,75135,75472,75476,75000,74643,74712,74701,75304,74727,74672,74805,74839,75120,74833,75074,74450,74934,74941,75746,76578,77330,77949,81579,78775,78798,79575
Brunei Darussalam,Watermelons,96,120000,170000,135000,166667,132500,165000,148000,146000,140000,154000,161667,140000,150000,142500,158000,144286,150000,154286,151429,152857,156250,145556,151111,147778,146000,155556
Brunei Darussalam,Total,96,1463448,1461178,1463630,1493874,1444923,1502832,1466818,1476591,1462658,1460616,1486052,1453151,1468238,1460790,1469339,1472415,1470226,1479882,1438790,1491292,1488972,1494365,1498160,1480058,1490704,1523228
Cambodia,Bananas,116,54762,54545,54486,55556,54894,55000,46667,46774,46986,45938,47517,42332,42319,42424,41875,43029,43333,43333,47188,46364,45428,44460,44929,44976,45195,45671
Cambodia,"Beans, dry",116,4800,4815,5833,5227,6538,7773,5142,5584,5564,5949,6595,6328,6802,7342,12165,8285,7935,8383,8464,8995,11140,11607,11914,11417,11451,11950
Cambodia,Cassava,116,54545,50909,93750,52339,65000,66035,53582,76809,81060,163188,96075,104681,63272,132054,160861,178690,226532,205093,204298,218137,209953,217414,225882,243851,224981,193291
Cambodia,Castor oil seed,116,9615,9286,9296,9333,8214,8856,8869,8916,8667,9010,10000,10000,9510,9512,10000,9494,9446,9337,9260,9183,9114,9046,8571,8621,8849,8857
Cambodia,"Chillies and peppers, dry",116,8069,9257,8947,9301,9344,9386,9434,9482,9688,9794,9796,9899,9538,9346,9238,9091,9375,9391,9167,9200,9280,9273,9231,9243,9251,9220
Cambodia,Coconuts,116,54444,53333,50000,53684,48182,49048,50962,52500,51000,55000,58000,52976,53846,53383,52985,54198,53030,51825,50643,44137,52013,52292,55783,56464,54341,53206
Cambodia,"Coffee, green",116,7240,7907,8182,7920,7451,7843,8333,8000,8056,8219,8219,8219,8108,8112,8158,8000,7500,7805,8049,8333,8135,8005,7991,7986,8022,8026
Cambodia,"Fruit, fresh nes",116,61429,62332,62889,63464,64865,64428,64524,65000,62353,60000,60106,61034,61053,60526,62215,63336,64779,66364,65652,64407,63273,62505,60833,61142,61485,62528
Cambodia,Grapefruit (inc. pomelos),116,70769,71006,71598,72287,72464,74499,76246,77143,78873,96667,96667,96667,96382,96918,96210,96667,97087,97727,98121,98754,99236,99714,100190,100662,100975,102437
Cambodia,"Groundnuts, with shell",116,6667,5714,5714,6910,7143,7500,5516,7368,6884,8756,7292,7908,8464,12946,11962,14802,17513,13979,14008,13240,10956,14021,16788,15222,14389,15873
Cambodia,Jute,116,10000,9286,7916,9825,10556,10404,5294,11944,10813,10115,8654,12273,14654,12986,20230,16070,12673,7007,7456,13775,4394,9004,10484,10370,10532,10290
Cambodia,Lemons and limes,116,69061,65327,66436,67621,67961,68182,69231,71429,73826,76667,76667,76667,77869,80196,80475,81560,82669,84046,85050,86159,87517,88581,89638,90987,91967,93191
Cambodia,Maize,116,19556,12000,12500,10583,12162,12191,13740,12427,12171,15948,27345,27612,20797,37472,33202,35153,35798,36831,37513,41757,36134,41146,44138,44613,45683,48383
Cambodia,"Mangoes, mangosteens, guavas",116,118421,120000,118493,119048,123810,128571,100000,103125,103030,102941,100000,100000,114287,128571,127778,127027,129730,127500,126190,127907,128894,130673,132971,134569,134316,132741
Cambodia,Nuts nes,116,10861,15228,15238,14783,15319,15833,15612,15385,15714,16667,16250,15882,15556,16168,16667,16316,16842,16842,16500,16535,16593,16627,16579,16704,16775,16813
Cambodia,Oil palm fruit,116,117961,122268,122026,121775,121534,121295,121047,120809,120564,120319,120075,119832,119590,119350,118844,118090,117336,116584,115825,115075,114318,113564,113355,112486,111888,111172
Cambodia,Oilseeds nes,116,26923,27143,26000,26667,27273,28571,28571,27922,27962,28571,26959,25000,25385,25000,25000,25000,25000,25000,25000,24984,24983,24897,25000,24811,24690,24888
Cambodia,Oranges,116,51215,57589,51111,57818,58681,59545,60539,65263,63000,63000,63000,63000,61463,60000,60682,60466,60224,59989,58182,56522,58673,58348,57909,57620,57423,56956
Cambodia,Pepper (piper spp.),116,48485,51672,53731,56213,58824,62500,60000,66667,65625,67692,67692,65714,65028,64865,64362,62500,63979,64271,64424,64409,64565,64695,64000,65119,65576,65696
Cambodia,Pineapples,116,100000,102030,102041,104000,105385,107407,107143,106092,106667,103226,103226,103226,103659,103950,104151,104742,105000,105000,102500,104762,105210,104613,104636,104682,104667,104605
Cambodia,"Rice, paddy",116,13477,13962,13178,13069,14877,17920,18116,17706,17884,19433,21155,20699,19164,21012,19773,24793,24893,26216,27457,28363,29697,29574,30892,31691,32611,33350
Cambodia,Roots and tubers nes,116,125224,122050,123362,121777,120000,123355,125000,126243,129412,127778,130000,126053,122727,123518,123138,121739,122197,121646,121088,120536,120011,119484,117742,118590,118743,117835
Cambodia,"Rubber, natural",116,9143,9172,9474,9104,8222,8224,8989,8683,10335,11381,12427,11507,10951,11021,10954,9205,10392,9959,9408,10951,11001,11367,11655,10854,10724,11400
Cambodia,Seed cotton,116,3333,15000,15000,13200,15000,15000,13889,13459,13784,13684,13684,13684,13684,13632,13684,13684,13000,13000,13000,13000,13441,13459,13298,13262,13207,13207
Cambodia,Sesame seed,116,5000,5000,4615,4678,4444,4578,4701,4088,5392,5113,5436,5135,5636,6460,8524,11381,6211,6682,7606,7993,6194,7859,7288,7429,6905,7368
Cambodia,Soybeans,116,14667,25000,25000,23926,10455,10448,16907,17209,8946,10034,8453,8596,13410,12144,13096,15450,15267,15395,14574,14242,15174,16236,16931,15700,15882,15882
Cambodia,Sugar cane,116,430000,241667,236667,224591,312857,272898,243955,233406,191913,190899,219487,219104,222266,204085,193446,197203,170810,274250,289718,258742,214125,212397,205955,214314,226812,252461
Cambodia,Sweet potatoes,116,38750,43333,60000,58894,36000,41638,38032,31629,33832,34881,37899,37210,40874,41108,49268,46163,48438,39175,48049,84984,69347,64042,46753,43281,47332,51686
Cambodia,"Tobacco, unmanufactured",116,5000,5057,5086,2964,8571,8280,8118,7022,7372,7668,7927,5459,5501,11865,14514,17296,16231,18749,18423,14550,14535,16158,17447,17596,18011,18508
Cambodia,"Vegetables, fresh nes",116,56443,65238,64541,65441,67708,64286,66912,66667,66429,62667,64163,62237,63742,63669,63649,62500,63499,62436,63649,63778,63907,64036,65417,64201,63779,63931
Cambodia,Total,116,1605860,1457126,1503110,1461998,1543734,1531494,1455071,1484751,1443802,1551205,1530766,1518934,1495537,1589635,1627106,1651930,1676719,1743815,1766462,1789774,1717241,1735097,1734200,1758463,1756462,1761422
Indonesia,Areca nuts,360,6863,6806,6655,7867,10471,12267,12371,12278,12245,13405,13006,12769,11276,11257,10854,11683,12245,12840,12272,12275,12623,12330,12570,8545,9802,9780
Indonesia,Avocados,360,35498,34012,33622,48330,68684,83964,75180,116029,106602,110414,109810,126104,151044,147629,142748,132830,153217,117066,123328,128956,109367,127443,140169,137871,137371,134556
Indonesia,Bananas,360,182025,183011,346357,373837,616806,775922,616872,391356,444071,478437,509520,559055,586532,487473,510765,510285,535082,555743,557061,535510,568256,588799,599959,596681,601980,601016
Indonesia,"Bastfibres, other",360,9679,9701,12589,11313,12031,9024,8088,9194,23622,32524,29815,28320,25936,13639,13209,13211,15357,15667,15185,15000,15118,15631,14879,14744,13639,6062
Indonesia,"Beans, dry",360,13932,14125,15228,15125,18548,12500,9106,8902,9029,8897,8545,9600,8372,10749,9751,10081,10227,10532,10716,10912,11300,11480,11602,11241,11758,11830
Indonesia,"Beans, green",360,58312,54725,60836,67247,38886,49469,44261,39633,49462,49052,48384,46689,45471,51999,54717,58182,56194,61219,60283,64516,65246,68342,68747,70425,75593,74446
Indonesia,Cabbages and other brassicas,360,205172,185012,219726,210088,210539,246920,226709,206454,211123,221556,199721,203591,204672,208995,210618,223835,219591,212275,215096,200332,205098,208769,225593,226923,227491,223324
Indonesia,Carrots and turnips,360,118204,128920,140903,126400,136738,134995,138525,130868,158927,159319,164101,162918,140401,165482,175324,178478,169652,147782,148990,148584,148745,158576,158717,159686,161172,172563
Indonesia,"Cashew nuts, with shell",360,2393,3578,3913,4152,3854,3947,2920,1477,1652,1618,1246,1610,1904,1865,2314,2330,2618,2562,2730,2573,2021,1997,2034,2097,2476,2631
Indonesia,Cassava,360,120691,120946,122220,123323,115946,116605,120150,121718,121925,121763,125305,129407,132491,148841,154679,159224,162829,166362,180950,187461,202174,202955,214018,224601,233548,229509
Indonesia,Castor oil seed,360,3019,2964,3494,3221,4242,3441,2246,2190,2867,2000,1880,2077,3184,1714,2101,1435,1517,1733,4295,4001,4474,2614,3333,3256,4063,4688
Indonesia,Cauliflowers and broccoli,360,127273,132071,132617,133150,133706,134271,134821,133333,137383,139987,142593,152556,150573,166935,144375,145293,136322,133676,123058,118741,115954,120211,115351,121790,120771,105751
Indonesia,"Chillies and peppers, green",360,21947,21958,19905,20025,19673,17769,61506,49687,51475,54963,41655,40718,42171,60518,56556,56507,57879,55320,50459,50967,58339,67240,71858,69463,71310,74888
Indonesia,Cinnamon (cannella),360,6532,6197,6722,6886,7383,7320,7305,6305,6774,5984,6854,5805,6302,8881,12433,12597,12559,9735,10008,10354,8872,8844,8802,8720,8339,8288
Indonesia,Cloves,360,1612,1745,1806,1754,1999,2338,1648,1605,1770,1701,1535,1817,2136,2772,1893,1959,2052,2649,2262,2572,3065,2184,2023,2186,2417,2607
Indonesia,"Cocoa, beans",360,8963,9508,10926,8615,6731,7439,8800,8528,11323,5502,5616,7013,7970,7235,6340,6416,8495,8009,5638,5101,5114,4111,3996,4142,4217,3471
Indonesia,Coconuts,360,53591,56881,56269,55303,53153,55394,54264,52842,54414,59052,58807,55746,58811,60354,60539,67343,64623,67672,62281,65517,60403,58725,64667,60596,60496,57756
Indonesia,"Coffee, green",360,5527,5633,5510,5418,5649,5411,5041,5131,6067,5830,4399,4334,4970,4802,4965,5101,5212,5220,5390,5391,5393,4939,5601,5443,5233,5198
Indonesia,Cucumbers and gherkins,360,48840,48072,48614,50397,52572,58374,109549,92729,92513,89763,96754,89447,85109,98661,94875,104105,102118,102625,96805,103948,96123,97309,99746,99731,98394,102745
Indonesia,Eggplants (aubergines),360,33202,31824,28085,28716,28437,33240,85621,69131,71673,76126,74803,68146,69326,67778,68975,73517,72596,82129,88195,93830,92472,99455,102618,107584,109492,111997
Indonesia,"Fruit, fresh nes",360,68750,81221,81633,97677,114000,108333,123810,130769,121806,121849,108471,106275,108253,92719,130199,128902,131592,125919,122502,117277,117953,126065,124263,124924,125486,126088
Indonesia,"Fruit, tropical fresh nes",360,49238,50435,26498,33039,35989,110965,73705,87935,85556,82264,90525,75064,105368,130004,140028,128562,148249,114527,130239,132212,114836,79622,139260,132665,132140,129718
Indonesia,Garlic,360,58900,63363,61912,63952,64847,69611,71512,55683,46440,48100,59120,53425,58555,61398,58521,63210,67753,64361,64199,67244,67704,80684,67014,63598,88312,79185
Indonesia,Ginger,360,83116,96111,99000,96875,76573,82631,81308,204886,186085,156401,151158,150943,179268,212843,169699,204630,198942,179129,177873,177977,177986,172542,156558,151071,147354,204297
Indonesia,"Groundnuts, with shell",360,17554,18177,18021,17972,16781,14676,18827,19263,18692,18513,18901,19013,19460,20160,20306,20360,20799,20961,21275,21919,22028,22495,22358,23716,22450,23411
Indonesia,Kapok fruit,360,9831,9923,10964,11153,11039,12846,13602,13978,14084,14109,16218,16207,15746,16268,16023,14842,15446,11991,11785,10585,9721,13585,14073,14231,13567,11145
Indonesia,"Leeks, other alliaceous vegetables",360,81213,77257,80496,69713,79863,86334,87377,75842,78644,87808,86173,82353,75749,89907,104023,110444,111265,104847,105131,102423,94000,94725,102149,101281,100172,96887
Indonesia,Maize,360,21323,21505,22030,21975,22091,22580,24862,26141,26526,26629,27649,28446,30655,32414,33439,34539,34699,36601,40776,42372,44359,45652,48987,48441,49540,51784
Indonesia,"Maize, green",360,43613,39474,37333,35541,29341,27473,25376,26667,26458,26744,27586,28537,30897,32500,33333,34396,34524,36484,40759,42379,44356,45668,48971,48482,49479,51742
Indonesia,"Mangoes, mangosteens, guavas",360,40780,40272,49839,52114,65905,59331,67741,85322,57851,71914,71509,75357,88113,116093,92053,94097,96715,103473,125582,119283,119718,118138,126318,121370,108905,123001
Indonesia,Manila fibre (abaca),360,9804,9673,9630,9667,9692,9677,9563,9516,9448,9380,9308,9200,9128,8944,8846,8702,8585,8466,8378,8307,8269,8264,7647,8571,8228,7941
Indonesia,"Melons, other (inc.cantaloupes)",360,142857,119072,120669,120273,133392,134882,127875,115705,99591,109569,109996,123143,139467,146705,142196,149146,159304,144807,132279,151259,134779,145446,160156,162125,162661,186424
Indonesia,Mushrooms and truffles,360,750000,909091,1000000,1000000,1020000,1000000,1000000,1000000,800000,1000000,1000000,1020000,1016667,1123489,1052353,1214724,790570,737401,675777,549500,897310,922616,711078,763099,638396,624720
Indonesia,"Nutmeg, mace and cardamoms",360,4794,4569,5001,5795,5143,4931,4740,4851,4651,4373,5258,5023,4653,4384,4393,4393,2990,3199,3798,1619,1338,1628,1885,2009,2072,2091
Indonesia,Nuts nes,360,3240,2830,2799,3913,3773,3994,4305,2863,3793,2792,3616,3768,4164,4508,4556,4557,4980,4901,5079,4739,4098,4369,4189,4977,4788,4793
Indonesia,Oil palm fruit,360,165695,157375,151349,185776,191770,188235,171457,165978,164394,177450,180636,186136,167742,173026,182005,200542,195255,171053,170683,167598,172960,174948,172853,172067,171281,170496
Indonesia,"Onions, dry",360,70659,71703,118439,74659,75253,76744,79923,68572,78452,89970,91961,104830,95981,86653,85382,87618,89130,85684,93456,92796,95676,95351,96888,102163,102232,100649
Indonesia,Oranges,360,50513,58233,68007,70534,58546,101327,54927,52681,207313,178286,173505,195502,202436,271775,286433,326152,354406,388490,359331,354173,355431,351909,311197,340868,361897,366898
Indonesia,Papayas,360,125381,143372,309029,392893,303564,524129,386134,359210,495598,452362,483015,487934,588710,673485,802070,696354,802208,778462,764699,807485,732576,866803,774559,840720,866998,881906
Indonesia,Pepper (piper spp.),360,9348,8252,8552,8091,7655,8245,6802,6172,8082,7747,6909,6840,6937,6263,5704,6811,4026,4254,4393,4455,4493,4866,4918,5294,5372,4863
Indonesia,Pineapples,360,79616,90306,177181,229725,171635,138669,169374,687908,623605,441209,562338,621819,614997,949634,620992,928611,668187,736175,1004227,1235585,1158426,1248987,1048423,1162011,1147182,1160805
Indonesia,Potatoes,360,141637,132721,143819,158338,156474,165939,158631,162061,153432,147199,133759,148495,155903,153206,163870,164014,169363,160919,166719,165123,159445,159562,165820,160184,176668,182027
Indonesia,Pulses nes,360,5147,5023,5040,5077,5111,5100,5000,5000,5138,5000,5194,5230,5273,5316,5364,5481,5544,5603,5663,5719,5775,5824,6136,6087,6028,6038
Indonesia,"Pumpkins, squash and gourds",360,71261,69347,73319,71010,63478,61194,55131,47805,135710,132120,274488,213771,219687,116407,176371,188138,170731,230562,348922,278593,345877,442856,404289,354376,376301,456976
Indonesia,"Rice, paddy",360,43018,43465,43446,43750,43453,43487,44168,44322,41974,42519,44007,43879,44691,45426,45365,45739,46201,46468,49165,50105,50253,49995,51510,51668,51477,53588
Indonesia,Roots and tubers nes,360,49932,53062,53662,48944,49848,51631,52960,54277,55589,57073,58313,59655,60625,60163,60484,60417,60870,60995,60640,59677,59061,59375,61069,60000,60031,60286
Indonesia,"Rubber, natural",360,6836,7074,7113,7143,7123,6777,7009,6851,6895,6975,6256,6184,6188,6700,7723,6925,9675,9927,8035,7104,7938,8652,8646,8739,8744,8686
Indonesia,Seed cotton,360,5684,6593,6198,6862,7000,3643,3671,3324,2795,2302,3277,6591,6890,5411,4089,3746,2598,9295,3289,2492,3087,2222,3082,2670,2074,1241
Indonesia,Sisal,360,18201,12409,11977,11111,15000,13704,13887,14045,14239,12874,12716,12522,12367,12176,12023,11351,11881,11873,11799,11790,11745,11735,11667,11333,11323,11385
Indonesia,Soybeans,360,11149,11369,11230,11621,11123,11371,11915,12125,11923,12013,12335,12181,12360,12749,12801,13006,12878,12908,13119,13483,13726,13681,14854,14161,15511,15690
Indonesia,Spices nes,360,10000,185732,185253,184712,184451,179528,190753,208300,210380,130305,138698,148688,142476,162128,164701,169748,209809,199430,188287,227442,235575,214474,196393,224983,225076,204813
Indonesia,Spinach,360,24544,22629,23094,23566,22258,23750,31538,21074,25698,23526,21110,20558,21941,33150,31345,33499,34876,35606,36639,38633,31188,34238,33567,31126,29599,35602
Indonesia,Sugar cane,360,811004,770767,811065,790166,785127,703871,685153,734296,689541,600869,653073,652319,727925,729764,775828,766849,736553,589062,586477,598043,609253,551724,648356,603048,573331,592340
Indonesia,Sugar crops nes,360,25000,25000,25000,24907,25046,25000,22937,24160,26991,27333,27333,27333,27333,27333,27333,27333,27333,27333,27333,27143,26866,27027,26667,27848,28366,27777
Indonesia,Sweet potatoes,360,94450,95150,94481,93183,93583,94939,113547,94532,95750,96698,94211,96634,99940,100857,103053,104128,105267,106643,107743,111920,113272,123289,139290,147465,151996,160533
Indonesia,Tea,360,16498,14741,16236,16090,12664,13578,14509,13440,15199,14636,13415,14458,14265,14614,14383,11710,13224,11263,12056,12704,12069,11972,11793,11907,12984,11543
Indonesia,"Tobacco, unmanufactured",360,6632,6530,6692,7227,7139,6485,6798,6237,7902,8250,12141,7599,7501,7818,8215,7743,8492,8324,8546,8633,6274,9379,9649,9630,9374,9268
Indonesia,Tomatoes,360,51493,54168,51281,46502,63152,69938,119462,104986,117014,121578,131238,112248,115963,137302,118908,126359,117727,123338,136646,152657,145798,166494,157518,166133,155231,160924
Indonesia,Vanilla,360,2154,1897,2258,2183,2313,2458,2261,2169,1961,2308,2128,2574,3068,1797,2444,2629,2898,2888,2655,2610,2255,2069,1558,1566,1471,1471
Indonesia,"Vegetables, fresh nes",360,64892,64061,69616,73213,75441,98855,104666,105820,95590,101769,93986,93539,98801,107074,95568,109419,104928,104414,107937,101627,100133,95437,100112,97292,102671,104712
