Area,Year,Area_Value,Yield_Value
Afghanistan,2018,2481517.0,2198760.0
Afghanistan,2019,3395020.0,2293403.0
Afghanistan,2020,3868814.0,2326728.0
Albania,2018,294531.0,9650880.0
Albania,2019,290600.0,9591621.0
Albania,2020,291558.0,9693461.0
Algeria,2018,4693780.0,7202588.0
Algeria,2019,4799891.0,7298141.0
Algeria,2020,4495146.0,7328356.0
Angola,2018,6043774.0,1565143.0
Angola,2019,6129801.0,1562712.0
Angola,2020,5767525.0,1575915.0
Antigua and Barbuda,2018,2547.0,1254152.0
Antigua and Barbuda,2019,2514.0,1265233.0
Antigua and Barbuda,2020,2262.0,1573371.0
Argentina,2018,36135622.0,7059624.0
Argentina,2019,36785290.0,7075780.0
Argentina,2020,38103173.0,7002385.0
Armenia,2018,234849.0,4137372.0
Armenia,2019,218425.0,4078910.0
Armenia,2020,222378.0,4251368.0
Australia,2018,24129459.0,12827708.0
Australia,2019,21822432.0,13603935.0
Australia,2020,20854419.0,13707130.0
Austria,2018,1088445.0,18084709.0
Austria,2019,1079570.0,15009677.0
Austria,2020,1074950.0,16356361.0
Azerbaijan,2018,1560345.0,5365892.0
Azerbaijan,2019,1527666.0,5615276.0
Azerbaijan,2020,1438288.0,5863453.0
Bahamas,2018,9313.0,4108202.0
Bahamas,2019,9438.0,4079328.0
Bahamas,2020,9570.0,4078653.0
Bahrain,2018,3892.0,7350550.0
Bahrain,2019,3936.0,7366708.0
Bahrain,2020,3902.0,7185209.0
Bangladesh,2018,16288349.0,4212509.0
Bangladesh,2019,16519814.0,3994151.0
Bangladesh,2020,16580555.0,4102722.0
Barbados,2018,6226.0,3513301.0
Barbados,2019,6276.0,3304396.0
Barbados,2020,5292.0,3392642.0
Belarus,2018,3252096.0,3690434.0
Belarus,2019,3352998.0,3763227.0
Belarus,2020,3420387.0,3890030.0
Belgium,2018,573320.0,52207712.0
Belgium,2019,582170.0,53114762.0
Belgium,2020,576650.0,51358970.0
Belize,2018,107200.0,4257725.0
Belize,2019,107244.0,3923166.0
Belize,2020,115817.0,3081757.0
Benin,2018,3998042.0,2124026.0
Benin,2019,4186326.0,2241005.0
Benin,2020,4105917.0,2149852.0
Bhutan,2018,75052.0,3262529.0
Bhutan,2019,69882.0,3407682.0
Bhutan,2020,66822.0,3323513.0
Bolivia (Plurinational State of),2018,3864898.0,3775315.0
Bolivia (Plurinational State of),2019,3943689.0,3807902.0
Bolivia (Plurinational State of),2020,3947570.0,3802833.0
Bosnia and Herzegovina,2018,698699.0,3072998.0
Bosnia and Herzegovina,2019,639222.0,3097663.0
Bosnia and Herzegovina,2020,693657.0,3139622.0
Botswana,2018,203807.0,3255271.0
Botswana,2019,106069.0,3131928.0
Botswana,2020,220269.0,3288197.0
Brazil,2018,78512374.0,8265921.0
Brazil,2019,81313893.0,8302482.0
Brazil,2020,83807091.0,8333366.0
Brunei Darussalam,2018,14243.0,1518391.0
Brunei Darussalam,2019,14185.0,1521370.0
Brunei Darussalam,2020,14114.0,1529228.0
Bulgaria,2018,3020827.0,5304538.0
Bulgaria,2019,3054521.0,4418406.0
Bulgaria,2020,3050130.0,5604175.0
Burkina Faso,2018,7616376.0,2712483.0
Burkina Faso,2019,7763149.0,2681776.0
Burkina Faso,2020,7777316.0,2686709.0
Burundi,2018,2091613.0,1699932.0
Burundi,2019,2427529.0,1823231.0
Burundi,2020,2163433.0,1870410.0
C?te d'Ivoire,2018,,3839305.0
C?te d'Ivoire,2019,,3871795.0
C?te d'Ivoire,2020,,3907464.0
Cabo Verde,2018,67250.0,3332356.0
Cabo Verde,2019,66708.0,4302703.0
Cabo Verde,2020,67796.0,3260608.0
Cambodia,2018,4319701.0,1824184.0
Cambodia,2019,4224954.0,1832874.0
Cambodia,2020,4224958.0,1843372.0
Cameroon,2018,6815544.0,3525909.0
Cameroon,2019,6948975.0,3523561.0
Cameroon,2020,7013150.0,3523833.0
Canada,2018,30922616.0,7709040.0
Canada,2019,30547850.0,7774854.0
Canada,2020,30973990.0,7699974.0
Central African Republic,2018,1004889.0,1005526.0
Central African Republic,2019,990026.0,1009776.0
Central African Republic,2020,1000305.0,1008180.0
Chad,2018,5196888.0,1832775.0
Chad,2019,5192023.0,1846734.0
Chad,2020,5184720.0,1847656.0
Chile,2018,1243731.0,10566871.0
Chile,2019,1194819.0,10918775.0
Chile,2020,1163444.0,11063261.0
"China, Hong Kong SAR",2018,2110.0,2727642.0
"China, Hong Kong SAR",2019,2116.0,2728155.0
"China, Hong Kong SAR",2020,2114.0,2732096.0
"China, Macao SAR",2018,128.0,16797.0
"China, Macao SAR",2019,128.0,16875.0
"China, Macao SAR",2020,128.0,16953.0
"China, Taiwan Province of",2018,701648.0,14198803.0
"China, Taiwan Province of",2019,678409.0,13917277.0
"China, Taiwan Province of",2020,666302.0,14455468.0
"China, mainland",2018,180136622.0,17297961.0
"China, mainland",2019,179552287.0,17444266.0
"China, mainland",2020,179847922.0,17666919.0
Colombia,2018,4177803.0,8714395.0
Colombia,2019,4262688.0,8789499.0
Colombia,2020,4364910.0,8590515.0
Comoros,2018,111480.0,758443.0
Comoros,2019,110654.0,760751.0
Comoros,2020,109526.0,759919.0
Congo,2018,385500.0,3118962.0
Congo,2019,389818.0,3117274.0
Congo,2020,397159.0,3120629.0
Cook Islands,2018,1596.0,1473372.0
Cook Islands,2019,1586.0,1478530.0
Cook Islands,2020,1592.0,1537478.0
Costa Rica,2018,490166.0,7825509.0
Costa Rica,2019,478395.0,7250146.0
Costa Rica,2020,468860.0,7731604.0
Croatia,2018,741350.0,5599555.0
Croatia,2019,756970.0,5701207.0
Croatia,2020,815570.0,6773542.0
Cuba,2018,1402357.0,4152245.0
Cuba,2019,1402347.0,3904564.0
Cuba,2020,1154951.0,3700054.0
Cyprus,2018,56360.0,8160484.0
Cyprus,2019,55716.0,8137060.0
Cyprus,2020,64410.0,8152191.0
Czechia,2018,1995630.0,4627824.0
Czechia,2019,1967450.0,5220205.0
Czechia,2020,1960450.0,5078803.0
Côte d'Ivoire,2018,12876225.0,
Côte d'Ivoire,2019,13528111.0,
Côte d'Ivoire,2020,14119604.0,
Democratic People's Republic of Korea,2018,2538006.0,2076607.0
Democratic People's Republic of Korea,2019,2651904.0,2112974.0
Democratic People's Republic of Korea,2020,2700422.0,2081652.0
Democratic Republic of the Congo,2018,13031107.0,3332522.0
Democratic Republic of the Congo,2019,13182351.0,3333574.0
Democratic Republic of the Congo,2020,13060629.0,3330777.0
Denmark,2018,1691800.0,10467787.0
Denmark,2019,1662150.0,11159516.0
Denmark,2020,1650640.0,11616115.0
Djibouti,2018,12355.0,106948.0
Djibouti,2019,12387.0,105953.0
Djibouti,2020,12418.0,105742.0
Dominica,2018,26683.0,2667054.0
Dominica,2019,26594.0,2699828.0
Dominica,2020,26661.0,2698528.0
Dominican Republic,2018,1037966.0,7098707.0
Dominican Republic,2019,1050809.0,7108633.0
Dominican Republic,2020,1089560.0,7218559.0
Ecuador,2018,2162963.0,4724573.0
Ecuador,2019,2165643.0,4555410.0
Ecuador,2020,2212267.0,4768119.0
Egypt,2018,4898090.0,12128380.0
Egypt,2019,5946087.0,12015407.0
Egypt,2020,5924160.0,12055742.0
El Salvador,2018,718204.0,6856750.0
El Salvador,2019,706464.0,6645216.0
El Salvador,2020,756815.0,6585381.0
Equatorial Guinea,2018,94744.0,368655.0
Equatorial Guinea,2019,94399.0,367520.0
Equatorial Guinea,2020,94714.0,366776.0
Eritrea,2018,643777.0,251493.0
Eritrea,2019,643770.0,250924.0
Eritrea,2020,643675.0,251683.0
Estonia,2018,480600.0,2275182.0
Estonia,2019,491590.0,2049722.0
Estonia,2020,503040.0,2349327.0
Eswatini,2018,194693.0,2244212.0
Eswatini,2019,180427.0,2255971.0
Eswatini,2020,173130.0,2266226.0
Ethiopia,2018,15249614.0,3817094.0
Ethiopia,2019,15276603.0,3787477.0
Ethiopia,2020,15702587.0,3719111.0
Faroe Islands,2018,104.0,146827.0
Faroe Islands,2019,104.0,147115.0
Faroe Islands,2020,104.0,147404.0
Fiji,2018,61951.0,4136330.0
Fiji,2019,63660.0,4304903.0
Fiji,2020,71516.0,3702204.0
Finland,2018,1041470.0,11286969.0
Finland,2019,1056620.0,12420050.0
Finland,2020,1062050.0,12185245.0
France,2018,13667373.0,11341896.0
France,2019,13567660.0,11325224.0
France,2020,13366510.0,10428800.0
French Polynesia,2018,26320.0,3875216.0
French Polynesia,2019,26661.0,3890437.0
French Polynesia,2020,26685.0,3888006.0
Gabon,2018,281060.0,1424404.0
Gabon,2019,283225.0,1424712.0
Gabon,2020,284169.0,1424529.0
Gambia,2018,310416.0,368855.0
Gambia,2019,376707.0,360641.0
Gambia,2020,376751.0,372606.0
Georgia,2018,343975.0,2353870.0
Georgia,2019,348780.0,2320904.0
Georgia,2020,380656.0,2403983.0
Germany,2018,8553289.0,12985621.0
Germany,2019,8437140.0,13338741.0
Germany,2020,8248670.0,13584569.0
Ghana,2018,7729215.0,3717171.0
Ghana,2019,7946062.0,3703737.0
Ghana,2020,7886637.0,3747237.0
Greece,2018,2655010.0,10982546.0
Greece,2019,2548460.0,10713820.0
Greece,2020,2313080.0,10501857.0
Grenada,2018,11332.0,2617198.0
Grenada,2019,10163.0,2614370.0
Grenada,2020,9528.0,2612269.0
Guatemala,2018,2623706.0,7831911.0
Guatemala,2019,2577440.0,7894773.0
