year,gdp,country-code
1990,..,4
1991,..,4
1992,..,4
1993,..,4
1994,..,4
1995,..,4
1996,..,4
1997,..,4
1998,..,4
1999,..,4
2000,..,4
2001,..,4
2002,179.426579211394,4
2003,190.683814295088,4
2004,211.382074198939,4
2005,242.031313175022,4
2006,263.733601866274,4
2007,359.693157866109,4
2008,364.6635420423,4
2009,437.26874023514,4
2010,543.306526178281,4
2011,591.190030208565,4
2012,638.845851607289,4
2013,624.315454506615,4
2014,614.223342360392,4
2015,556.007220861443,4
2016,512.012778129357,4
2017,516.679862210543,4
2018,485.668418729808,4
2019,494.179349886029,4
2020,516.747870807558,4
1990,617.230435515505,8
1991,336.586994504629,8
1992,200.852219772323,8
1993,367.279225077581,8
1994,586.416339644261,8
1995,750.604449178826,8
1996,1009.97727483821,8
1997,717.380047745673,8
1998,813.789396580449,8
1999,1033.24253162418,8
2000,1126.68334010717,8
2001,1281.6598256178,8
2002,1425.12421860142,8
2003,1846.12012081207,8
2004,2373.58129170055,8
2005,2673.78658429559,8
2006,2972.74292399799,8
2007,3595.03805682893,8
2008,4370.5399247769,8
2009,4114.13489916342,8
2010,4094.34838574494,8
2011,4437.14261222684,8
2012,4247.63004748194,8
2013,4413.06200528903,8
2014,4578.63320812155,8
2015,3952.80253807527,8
2016,4124.05538986272,8
2017,4531.0193737689,8
2018,5287.66369446913,8
2019,5395.65953185375,8
2020,5246.09634560989,8
1990,2408.82298523208,12
1991,1731.62136973126,12
1992,1776.0282780527,12
1993,1807.29745090643,12
1994,1507.88666269017,12
1995,1452.27843429531,12
1996,1603.9403022019,12
1997,1619.79774865029,12
1998,1596.00392574042,12
1999,1588.34890767221,12
2000,1765.02714611601,12
2001,1740.60665427662,12
2002,1781.82890798394,12
2003,2103.38129106939,12
2004,2610.18542243488,12
2005,3113.09488313746,12
2006,3478.71000237566,12
2007,3950.5129931247,12
2008,4923.63161541179,12
2009,3883.27090043586,12
2010,4480.78631766464,12
2011,5455.67940349747,12
2012,5592.22011465753,12
2013,5499.58733105334,12
2014,5493.05669453687,12
2015,4177.8895415169,12
2016,3946.45244712537,12
2017,4109.69821695727,12
2018,4142.01855842917,12
2019,3989.66827645236,12
2020,3306.85820838104,12
1990,..,16
1991,..,16
1992,..,16
1993,..,16
1994,..,16
1995,..,16
1996,..,16
1997,..,16
1998,..,16
1999,..,16
2000,..,16
2001,..,16
2002,8666.65538195914,16
2003,8807.46281200101,16
2004,8528.24877689163,16
2005,8395.31877025371,16
2006,8340.52343974691,16
2007,8874.87792759607,16
2008,9740.82449121586,16
2009,11910.013233348,16
2010,10216.8176306968,16
2011,10223.2983588916,16
2012,11496.5240977923,16
2013,11450.7241954879,16
2014,11525.1563872309,16
2015,12059.6351646776,16
2016,12038.2496994923,16
2017,11003.8297642807,16
2018,11521.6097798453,16
2019,11715.3601388487,16
2020,12844.9009909959,16
1990,18878.8523130643,20
1991,19534.2636301538,20
1992,20549.8055751695,20
1993,16515.6583953924,20
1994,16235.0680377239,20
1995,18458.1739929996,20
1996,19016.2881877293,20
1997,18355.6278604321,20
1998,18895.110661321,20
1999,19262.3089910407,20
2000,21854.2468030614,20
2001,22970.5122133619,20
2002,25067.2400639132,20
2003,32272.8458909877,20
2004,37966.1872524395,20
2005,40064.2249292197,20
2006,42674.7589681092,20
2007,47804.8499340211,20
2008,48719.6587699036,20
2009,43504.2156523202,20
2010,40850.2481432297,20
2011,43334.8114127088,20
2012,38686.4612635075,20
2013,39540.7248137461,20
2014,41303.9293714464,20
2015,35770.7767044085,20
2016,37475.6350587526,20
2017,38964.904478265,20
2018,41791.9698372411,20
2019,40897.3308728669,20
2020,..,20
1990,947.704262071309,24
1991,865.69272959239,24
1992,656.362015240656,24
1993,441.200841971444,24
1994,328.673148671386,24
1995,397.179479250907,24
1996,522.643698386589,24
1997,514.295154058547,24
1998,423.593687810511,24
1999,387.785124062555,24
2000,556.838631674927,24
2001,527.333528536691,24
2002,872.494441791273,24
2003,982.96100777685,24
2004,1255.56451325546,24
2005,1902.42214975937,24
2006,2599.56594793067,24
2007,3121.99608528081,24
2008,4080.94103372417,24
2009,3122.7815987074,24
2010,3587.88364462837,24
2011,4615.46821863819,24
2012,5100.09702685927,24
2013,5254.88112606683,24
2014,5408.41170002082,24
2015,4166.97983330278,24
2016,3506.07312818832,24
2017,4095.8100568707,24
2018,3289.64399476678,24
2019,2809.62608839129,24
2020,1776.16686789531,24
1990,7347.64636864328,28
1991,7602.34533414465,28
1992,7745.72179961652,28
1993,8136.18854727449,28
1994,8771.14372746878,28
1995,8406.35894515205,28
1996,9030.5749776224,28
1997,9491.66076559497,28
1998,9940.85222769034,28
1999,10260.5994054155,28
2000,10872.2929515751,28
2001,10367.3196068161,28
2002,10401.0508759034,28
