,"Region, development group, country or area",Location code,year,value
0,  South-Eastern Asia,920,1990,7725395
1,   Brunei Darussalam,96,1990,26323
2,   Cambodia,116,1990,355428
3,   Indonesia,360,1990,1622259
4,   Lao People's Democratic Republic,418,1990,483008
5,   Malaysia*,458,1990,560353
6,   Myanmar,104,1990,685308
7,   Philippines,608,1990,2012499
8,   Singapore,702,1990,156444
9,   Thailand,764,1990,306924
10,   Timor-Leste,626,1990,11261
11,   Viet Nam,704,1990,1505588
12,  South-Eastern Asia,920,1991,8119165
13,   Brunei Darussalam,96,1991,28068
14,   Cambodia,116,1991,367985
15,   Indonesia,360,1991,1685253
16,   Lao People's Democratic Republic,418,1991,495963
17,   Malaysia*,458,1991,620524
18,   Myanmar,104,1991,730535
19,   Philippines,608,1991,2106391
20,   Singapore,702,1991,158775
21,   Thailand,764,1991,327914
22,   Timor-Leste,626,1991,24818
23,   Viet Nam,704,1991,1572934
24,  South-Eastern Asia,920,1992,8512936
25,   Brunei Darussalam,96,1992,29814
26,   Cambodia,116,1992,380542
27,   Indonesia,360,1992,1748248
28,   Lao People's Democratic Republic,418,1992,508919
29,   Malaysia*,458,1992,680695
30,   Myanmar,104,1992,775762
31,   Philippines,608,1992,2200284
32,   Singapore,702,1992,161106
33,   Thailand,764,1992,348905
34,   Timor-Leste,626,1992,38376
35,   Viet Nam,704,1992,1640280
36,  South-Eastern Asia,920,1993,8906706
37,   Brunei Darussalam,96,1993,31560
38,   Cambodia,116,1993,393099
39,   Indonesia,360,1993,1811243
40,   Lao People's Democratic Republic,418,1993,521874
41,   Malaysia*,458,1993,740866
42,   Myanmar,104,1993,820990
43,   Philippines,608,1993,2294177
44,   Singapore,702,1993,163437
45,   Thailand,764,1993,369896
46,   Timor-Leste,626,1993,51934
47,   Viet Nam,704,1993,1707627
48,  South-Eastern Asia,920,1994,9300477
49,   Brunei Darussalam,96,1994,33306
50,   Cambodia,116,1994,405656
51,   Indonesia,360,1994,1874238
52,   Lao People's Democratic Republic,418,1994,534830
53,   Malaysia*,458,1994,801037
54,   Myanmar,104,1994,866217
55,   Philippines,608,1994,2388070
56,   Singapore,702,1994,165768
57,   Thailand,764,1994,390887
58,   Timor-Leste,626,1994,65492
59,   Viet Nam,704,1994,1774973
60,  South-Eastern Asia,920,1995,9694248
61,   Brunei Darussalam,96,1995,35052
62,   Cambodia,116,1995,418213
63,   Indonesia,360,1995,1937233
64,   Lao People's Democratic Republic,418,1995,547786
65,   Malaysia*,458,1995,861208
66,   Myanmar,104,1995,911445
67,   Philippines,608,1995,2481963
68,   Singapore,702,1995,168100
69,   Thailand,764,1995,411878
70,   Timor-Leste,626,1995,79050
71,   Viet Nam,704,1995,1842320
72,  South-Eastern Asia,920,1996,10173031
73,   Brunei Darussalam,96,1996,37090
74,   Cambodia,116,1996,426494
75,   Indonesia,360,1996,2032801
76,   Lao People's Democratic Republic,418,1996,568086
77,   Malaysia*,458,1996,929193
