country-code,year,migration
903,1990,20621464
910,1990,7784743
108,1990,337100
174,1990,40079
262,1990,5308
232,1990,170603
231,1990,1689941
404,1990,250332
450,1990,59415
454,1990,143436
480,1990,110707
175,1990,1835
508,1990,2222354
638,1990,3087
646,1990,547717
690,1990,35633
706,1990,848055
728,1990,514943
800,1990,311591
834,1990,203043
894,1990,85201
716,1990,204363
911,1990,1922243
24,1990,824886
120,1990,115835
140,1990,46354
148,1990,336798
178,1990,96370
180,1990,436513
226,1990,36175
266,1990,15347
678,1990,13965
912,1990,5286657
12,1990,921665
818,1990,1321915
434,1990,76239
504,1990,1748116
729,1990,584935
788,1990,465549
732,1990,168238
913,1990,576752
72,1990,26048
748,1990,35179
426,1990,191328
516,1990,16077
710,1990,308120
914,1990,5051069
204,1990,234314
854,1990,1021331
132,1990,91363
384,1990,366336
270,1990,36280
288,1990,371157
324,1990,352763
624,1990,55406
430,1990,516878
466,1990,647426
478,1990,134478
562,1990,149777
566,1990,446753
654,1990,884
686,1990,370243
694,1990,61853
768,1990,193827
935,1990,56957000
5500,1990,5719892
398,1990,2971634
417,1990,522574
762,1990,537699
795,1990,260005
860,1990,1427980
906,1990,7049024
156,1990,4231625
344,1990,549125
446,1990,86460
408,1990,39383
392,1990,604803
496,1990,24466
410,1990,1513162
920,1990,7725395
96,1990,26323
116,1990,355428
360,1990,1622259
418,1990,483008
458,1990,560353
104,1990,685308
608,1990,2012499
702,1990,156444
764,1990,306924
626,1990,11261
704,1990,1505588
5501,1990,25384128
4,1990,7679582
50,1990,5450443
64,1990,28461
356,1990,6619431
364,1990,631196
462,1990,2192
524,1990,748053
586,1990,3341086
144,1990,883684
922,1990,11078561
51,1990,899678
31,1990,1634157
48,1990,12817
196,1990,174370
268,1990,919438
368,1990,642933
376,1990,279625
400,1990,313621
414,1990,81583
422,1990,507722
512,1990,12504
634,1990,12175
682,1990,107045
275,1990,1812673
760,1990,620285
792,1990,2512944
784,1990,79499
887,1990,455492
908,1990,47730278
923,1990,24779673
112,1990,1767600
100,1990,612960
203,1990,564746
348,1990,391583
616,1990,1673426
498,1990,625680
642,1990,811853
643,1990,12653331
703,1990,132977
804,1990,5545517
924,1990,6227251
830,1990,18726
208,1990,201514
233,1990,113860
234,1990,7518
246,1990,250610
352,1990,17597
372,1990,917101
833,1990,10735
428,1990,215070
440,1990,340973
578,1990,138289
752,1990,205942
826,1990,3789316
925,1990,10622826
8,1990,180204
20,1990,3740
70,1990,861760
191,1990,425544
292,1990,11989
300,1990,1022125
336,1990,10
380,1990,3350982
470,1990,110738
499,1990,77384
807,1990,432070
620,1990,1871869
674,1990,1413
688,1990,742547
705,1990,91447
724,1990,1439004
926,1990,6100528
40,1990,505214
56,1990,363970
250,1990,1215837
276,1990,2929448
438,1990,3425
442,1990,36108
492,1990,4475
528,1990,716471
756,1990,325580
904,1990,15273399
915,1990,4139775
660,1990,1832
