year,population,country-code
1990,12412311,4
1991,13299016,4
1992,14485543,4
1993,15816601,4
1994,17075728,4
1995,18110662,4
1996,18853444,4
1997,19357126,4
1998,19737770,4
1999,20170847,4
2000,20779957,4
2001,21606992,4
2002,22600774,4
2003,23680871,4
2004,24726689,4
2005,25654274,4
2006,26433058,4
2007,27100542,4
2008,27722281,4
2009,28394806,4
2010,29185511,4
2011,30117411,4
2012,31161378,4
2013,32269592,4
2014,33370804,4
2015,34413603,4
2016,35383028,4
2017,36296111,4
2018,37171922,4
2019,38041757,4
2020,38928341,4
1990,3286542,8
1991,3266790,8
1992,3247039,8
1993,3227287,8
1994,3207536,8
1995,3187784,8
1996,3168033,8
1997,3148281,8
1998,3128530,8
1999,3108778,8
2000,3089027,8
2001,3060173,8
2002,3051010,8
2003,3039616,8
2004,3026939,8
2005,3011487,8
2006,2992547,8
2007,2970017,8
2008,2947314,8
2009,2927519,8
2010,2913021,8
2011,2905195,8
2012,2900401,8
2013,2895092,8
2014,2889104,8
2015,2880703,8
2016,2876101,8
2017,2873457,8
2018,2866376,8
2019,2854191,8
2020,2837849,8
1990,25758872,12
1991,26400468,12
1992,27028330,12
1993,27635517,12
1994,28213777,12
1995,28757788,12
1996,29266415,12
1997,29742980,12
1998,30192750,12
1999,30623406,12
2000,31042238,12
2001,31451513,12
2002,31855110,12
2003,32264159,12
2004,32692153,12
2005,33149720,12
2006,33641007,12
2007,34166976,12
2008,34730604,12
2009,35333882,12
2010,35977451,12
2011,36661438,12
2012,37383899,12
2013,38140135,12
2014,38923688,12
2015,39728020,12
2016,40551398,12
2017,41389174,12
2018,42228415,12
2019,43053054,12
2020,43851043,12
1990,47351,16
1991,48682,16
1992,49900,16
1993,51025,16
1994,52099,16
1995,53158,16
1996,54209,16
1997,55227,16
1998,56180,16
1999,57049,16
2000,57816,16
2001,58496,16
2002,59077,16
2003,59495,16
2004,59684,16
2005,59557,16
2006,59109,16
2007,58367,16
2008,57490,16
2009,56675,16
2010,56084,16
2011,55755,16
2012,55669,16
2013,55717,16
2014,55791,16
2015,55806,16
2016,55739,16
2017,55617,16
2018,55461,16
2019,55312,16
2020,55197,16
1990,54508,20
1991,56666,20
1992,58882,20
1993,60974,20
1994,62676,20
1995,63860,20
1996,64363,20
1997,64318,20
1998,64140,20
1999,64368,20
2000,65390,20
2001,67344,20
2002,70048,20
2003,73180,20
2004,76250,20
2005,78871,20
2006,80995,20
2007,82682,20
2008,83860,20
2009,84461,20
2010,84454,20
2011,83748,20
2012,82427,20
2013,80770,20
2014,79213,20
2015,77993,20
2016,77295,20
2017,76997,20
2018,77008,20
2019,77146,20
2020,77265,20
1990,11848385,24
1991,12248901,24
1992,12657361,24
1993,13075044,24
1994,13503753,24
1995,13945205,24
1996,14400722,24
1997,14871572,24
1998,15359600,24
1999,15866871,24
2000,16395477,24
2001,16945753,24
2002,17519418,24
2003,18121477,24
2004,18758138,24
2005,19433604,24
2006,20149905,24
2007,20905360,24
2008,21695636,24
2009,22514275,24
2010,23356247,24
2011,24220660,24
2012,25107925,24
2013,26015786,24
2014,26941773,24
2015,27884380,24
2016,28842482,24
2017,29816769,24
2018,30809787,24
2019,31825299,24
2020,32866268,24
1990,62533,28
1991,63363,28
1992,64459,28
1993,65777,28
1994,67201,28
1995,68672,28
1996,70176,28
