,name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration,tempstep,gfsi_hat
0,Algeria,Africa,12.0,2.0,62.86666666666667,21.521313333333357,3.1792987e-05,3812.84834775419,43044170.66666666,1985170.0,2020.0,56.2056050764404
1,Angola,Africa,24.0,2.0,40.46666666666667,28.87619333333335,0.00010654909,2625.1456503511267,31833784.666666668,658110.0,2020.0,50.58827801437727
2,Azerbaijan,Asia,31.0,142.0,60.73333333333333,15.771556666666696,3.319543633333333e-05,4589.000968807194,10019058.333333334,1157207.0,2020.0,58.91195776803799
3,Argentina,Americas,32.0,19.0,64.36666666666667,15.598700000000028,2.0769597e-05,10143.605033350175,44936659.0,1049687.0,2020.0,61.29487630902159
4,Australia,Oceania,36.0,9.0,75.96666666666667,22.387706666666684,4.8364114333333335e-05,54578.79395981343,25347233.33333333,582643.3333333334,2020.0,73.86194330038609
5,Austria,Europe,40.0,150.0,79.33333333333333,8.65697000000002,4.6373544666666666e-05,50063.211998749095,8879101.666666666,583638.3333333334,2020.0,78.95952705463276
6,Bangladesh,Asia,50.0,142.0,51.43333333333334,26.96867333333336,3.0979094e-05,1838.49530793297,163037423.0,7287666.333333333,2020.0,55.142859871504776
7,Belgium,Europe,56.0,150.0,77.3,7.436743333333368,4.0090151e-05,46446.53235461717,11486758.333333334,565129.0,2020.0,78.30303813404902
8,Bolivia (Plurinational State of),Americas,68.0,19.0,60.16666666666666,27.15360000000004,1.1714094e-05,3411.2529088812767,11513090.333333334,906596.3333333334,2020.0,53.03386506079543
9,Botswana,Africa,72.0,2.0,55.63333333333333,24.55425666666669,4.845589633333333e-05,7037.280913728439,2303131.6666666665,61907.333333333336,2020.0,54.83333310604766
10,Brazil,Americas,76.0,19.0,66.73333333333333,27.41896666666668,4.680074566666667e-05,8281.926413249807,211026082.66666663,1818548.3333333333,2020.0,55.189517085756094
11,Bulgaria,Europe,100.0,150.0,67.2,12.49430000000003,5.2197633666666666e-05,9801.72422873622,6978271.0,1582384.0,2020.0,62.37164038194433
12,Myanmar,Asia,104.0,142.0,54.76666666666667,27.619633333333358,4.3878567e-05,1329.6298491355535,54054511.333333336,3537899.333333333,2020.0,52.71805745175305
13,Burundi,Africa,108.0,2.0,35.43333333333334,28.38379333333336,1.6029157e-05,235.32926070696533,11532245.666666666,532879.3333333334,2020.0,51.044507357723546
14,Belarus,Europe,112.0,150.0,71.8,8.907943333333359,3.931906666666667e-05,6540.64415850119,9412831.666666666,1480877.0,2020.0,63.07565831633411
15,Cambodia,Asia,116.0,142.0,52.8,28.63545000000001,3.132567566666667e-05,1566.3058784106834,16485102.666666666,1098769.3333333333,2020.0,51.438767334110246
16,Cameroon,Africa,120.0,2.0,44.833333333333336,29.16746666666669,7.691018333333333e-05,1551.8221469536932,25879504.0,422606.3333333333,2020.0,50.33414961517999
17,Canada,Americas,124.0,19.0,77.13333333333333,-3.869889999999998,1.6369912666666666e-05,45378.52470774647,37567839.333333336,1286573.3333333333,2020.0,84.17267225302635
18,Sri Lanka,Asia,144.0,142.0,57.76666666666667,28.17940666666668,0.0001106248166666,3864.04910311369,21797333.33333333,1899270.3333333333,2020.0,51.777308833882444
19,Chad,Africa,148.0,2.0,41.9,27.361520000000024,4.624434933333334e-05,698.3203650803267,15950156.0,216096.0,2020.0,51.213168165294
20,Chile,Americas,152.0,19.0,72.93333333333334,13.253096666666693,2.4460779333333334e-05,14620.520988776232,18932470.0,638643.0,2020.0,63.83986038431167
21,China,Asia,156.0,142.0,72.63333333333334,16.821253333333345,4.8532011666666665e-05,10161.318454456175,1407144787.3333333,10417099.0,2020.0,67.95212393136197
22,Colombia,Americas,170.0,19.0,65.13333333333334,29.39356666666669,7.667062833333333e-05,6163.03962224305,50294461.0,2959156.0,2020.0,52.97024113098739
23,"Congo, Democratic Republic of the",Africa,180.0,2.0,36.3,28.818496666666665,4.6175752e-05,561.8248737999427,86806688.0,1780099.3333333333,2020.0,51.244150452304936
24,Costa Rica,Americas,188.0,19.0,71.56666666666666,29.259090000000032,7.107068800000001e-05,12440.035335593531,5047039.333333333,147840.0,2020.0,54.251821365909095
25,Czechia,Europe,203.0,150.0,78.60000000000001,8.224820000000022,4.3717207e-05,23337.7946704685,10666552.0,984841.3333333334,2020.0,69.4218217766029
26,Benin,Africa,204.0,2.0,45.63333333333333,29.152840000000023,8.756672999999999e-05,1250.79392537768,11803128.0,672446.0,2020.0,50.13875486452095
27,Denmark,Europe,208.0,150.0,77.5,6.280383333333361,3.291564933333333e-05,60810.3267989237,5813154.0,252986.0,2020.0,84.1813100589802
28,Dominican Republic,Americas,214.0,19.0,65.86666666666666,26.468783333333345,4.9920237000000005e-05,7866.986038800824,10738002.666666666,1577774.0,2020.0,54.77080711944504
29,Ecuador,Americas,218.0,19.0,59.96666666666667,28.05849333333335,7.117464166666667e-05,6039.61630995527,17367025.333333332,1128467.3333333333,2020.0,52.87016267271205
30,El Salvador,Americas,222.0,19.0,58.5,28.882413333333336,6.237615433333333e-05,4006.3307449820873,6453497.0,1581825.0,2020.0,51.96115926750708
31,Ethiopia,Africa,231.0,2.0,39.833333333333336,27.973940000000027,8.1371182e-05,854.5420708670276,112088906.66666669,925402.0,2020.0,51.05496858519325
32,Finland,Europe,246.0,150.0,84.53333333333335,-2.760569999999973,2.6283095e-05,49124.30253819336,5522224.666666667,305955.3333333333,2020.0,84.41860563942008
33,France,Europe,250.0,150.0,78.83333333333333,8.547480000000027,4.541251933333333e-05,40402.8542707976,67243588.0,2297379.333333333,2020.0,76.25352172828977
34,Germany,Europe,276.0,150.0,79.56666666666666,7.600290000000011,4.038755233333333e-05,47007.06540651974,83053205.0,3810270.0,2020.0,79.86460932118398
35,Ghana,Africa,288.0,2.0,53.06666666666666,29.440896666666674,9.898745333333332e-05,2237.6717204386964,30419303.666666668,981909.3333333334,2020.0,50.38324319767388
36,Greece,Europe,300.0,150.0,74.73333333333333,15.202930000000018,5.2892394333333335e-05,18845.9936360516,10718340.0,1034829.0,2020.0,64.19094402359451
37,Guatemala,Americas,320.0,19.0,56.16666666666666,28.629433333333377,3.984011833333333e-05,4573.466401804767,16603103.0,1318367.3333333333,2020.0,52.52992604280218
38,Guinea,Africa,324.0,2.0,41.266666666666666,29.140943333333382,7.468434666666666e-05,1069.0975046682404,12772776.666666666,539314.0,2020.0,50.20197161812167
39,Haiti,Americas,332.0,19.0,36.73333333333333,27.151680000000017,5.951360866666666e-05,1354.82815166577,11262931.666666666,1709145.0,2020.0,51.93246735991625
40,Honduras,Americas,340.0,19.0,59.333333333333336,28.604756666666677,7.788971166666666e-05,2479.4460963823167,9746082.0,934032.3333333334,2020.0,51.08905078511737
41,Hungary,Europe,348.0,150.0,71.3,9.426733333333363,4.7790513333333335e-05,16381.046922169036,9765618.0,691713.0,2020.0,66.07055926088816
42,India,Asia,356.0,142.0,59.43333333333334,23.91794666666668,3.9759485e-05,2008.458123699763,1366354808.0,17472725.0,2020.0,64.0569331977502
43,Indonesia,Asia,360.0,142.0,61.4,28.530460000000023,7.501025e-05,3966.216512173693,270606579.0,4494114.0,2020.0,53.8435908513704
44,Ireland,Europe,372.0,150.0,84.66666666666667,5.838983333333355,3.1486803666666666e-05,81805.58786679123,4929110.0,734781.0,2020.0,92.40963027703809
45,Israel,Asia,376.0,142.0,78.3,19.78648,3.5755790333333337e-05,43397.424027631096,9050633.333333334,353218.0,2020.0,71.0229953109732
46,Italy,Europe,380.0,150.0,76.23333333333333,11.792556666666693,5.365300733333334e-05,33344.58976210653,59866789.333333336,3139597.0,2020.0,72.20519365180057
47,Côte d'Ivoire,Africa,384.0,2.0,50.13333333333333,29.531720000000025,0.0001013285233333,2305.3690190976936,25721351.666666668,1130714.0,2020.0,50.37409630388349
48,Japan,Asia,392.0,142.0,79.96666666666665,19.949406666666714,4.438587900000001e-05,40259.67656758873,126210017.33333331,799941.3333333334,2020.0,70.18024545452386
49,Kazakhstan,Asia,398.0,142.0,68.96666666666667,7.424673333333374,2.7480060666666665e-05,9582.485203087866,18514855.0,4140234.0,2020.0,66.12964375441808
50,Jordan,Asia,400.0,142.0,64.16666666666667,19.74296000000002,3.159882933333333e-05,4332.13466926994,10090053.0,793293.3333333334,2020.0,56.733950781717986
51,Kenya,Africa,404.0,2.0,46.86666666666667,27.421423333333355,1.4111942833333334e-05,1861.7732482545728,52579279.0,524407.3333333334,2020.0,52.27219076127701
52,"Korea, Republic of",Asia,410.0,142.0,72.93333333333334,20.38861333333336,5.5986893666666665e-05,32312.281539499203,51728706.333333336,2194149.333333333,2020.0,67.15193216916947
53,Kuwait,Asia,414.0,142.0,71.3,20.017330000000037,1.5378721666666666e-05,30194.69375621933,4204984.666666667,208823.3333333333,2020.0,66.19965952240821
54,Lao People's Democratic Republic,Asia,418.0,142.0,51.0,27.88752333333336,3.0709034333333336e-05,2611.5361633590837,7168836.666666667,1294476.3333333333,2020.0,52.252040164024436
