Index,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
102,  South-Eastern Asia,920,7 725 395,9 694 248,12 088 166,14 537 009,18 113 912,20 787 865,23 580 736
103,   Brunei Darussalam,96, 26 323, 35 052, 45 242, 45 314, 44 541, 45 110, 45 340
104,   Cambodia,116, 355 428, 418 213, 459 621, 674 436, 953 059,1 074 572,1 104 819
105,   Indonesia,360,1 622 259,1 937 233,2 415 077,2 781 287,3 415 963,4 065 095,4 601 369
106,   Lao People's Democratic Republic,418, 483 008, 547 786, 649 287, 897 002,1 198 862,1 288 179,1 296 051
107,   Malaysia*,458, 560 353, 861 208,1 201 135,1 379 305,1 599 061,1 781 038,1 860 037
108,   Myanmar,104, 685 308, 911 445,1 224 310,1 736 590,2 492 274,2 842 494,3 711 751
109,   Philippines,608,2 012 499,2 481 963,3 062 665,3 684 528,4 692 695,5 498 232,6 094 307
110,   Singapore,702, 156 444, 168 100, 192 930, 235 683, 282 421, 324 639, 348 464
111,   Thailand,764, 306 924, 411 878, 531 028, 631 678, 769 257, 921 690,1 086 985
112,   Timor-Leste,626, 11 261, 79 050, 148 339, 94 961, 35 037, 37 325, 39 588
113,   Viet Nam,704,1 505 588,1 842 320,2 158 532,2 376 225,2 630 742,2 909 491,3 392 025
