,Domain Code,Domain,M49,Area,Element Code,Element,Item Code (FAO),Item,Year,Unit,Value,Flag,Flag Description
0,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1990,hg/ha,45029,Fc,Calculated data
1,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1991,hg/ha,43902,Fc,Calculated data
2,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1992,hg/ha,44000,Fc,Calculated data
3,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1993,hg/ha,44072,Fc,Calculated data
4,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1994,hg/ha,46667,Fc,Calculated data
5,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1995,hg/ha,41667,Fc,Calculated data
6,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1996,hg/ha,41475,Fc,Calculated data
7,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1997,hg/ha,41102,Fc,Calculated data
8,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1998,hg/ha,40000,Fc,Calculated data
9,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,1999,hg/ha,39048,Fc,Calculated data
10,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2000,hg/ha,38714,Fc,Calculated data
11,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2001,hg/ha,39111,Fc,Calculated data
12,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2002,hg/ha,39231,Fc,Calculated data
13,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2003,hg/ha,39600,Fc,Calculated data
14,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2004,hg/ha,40579,Fc,Calculated data
15,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2005,hg/ha,40000,Fc,Calculated data
16,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2006,hg/ha,39700,Fc,Calculated data
17,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2007,hg/ha,31111,Fc,Calculated data
18,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2008,hg/ha,32000,Fc,Calculated data
19,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2009,hg/ha,33560,Fc,Calculated data
20,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2010,hg/ha,33189,Fc,Calculated data
21,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2011,hg/ha,32896,Fc,Calculated data
22,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,486,Bananas,2012,hg/ha,32692,Fc,Calculated data
